"","expenditure_category","subcategory","category","fiscal_year","Categorical.Citywide.Exp","FY_CPI","Adjusted.Categorical.Citywide.Exp","human_services"
"1388","General Government","Board of Elections","Board of Elections",2014,116081,234.966,152938.345339326,FALSE
"1389","General Government","Campaign Finance Board","Campaign Finance Board",2014,53530,234.966,70526.5256675434,FALSE
"1390","General Government","Office of the Actuary","Office of the Actuary",2014,5568,234.966,7335.91808176502,FALSE
"1391","General Government","Borough President-Manhattan","Borough President-Manhattan",2014,4066,234.966,5357.01201876016,FALSE
"1392","General Government","Borough President-Bronx","Borough President-Bronx",2014,4901,234.966,6457.13622822025,FALSE
"1393","General Government","Borough President-Brooklyn","Borough President-Brooklyn",2014,5089,234.966,6704.82886460169,FALSE
"1394","General Government","Borough President-Queens","Borough President-Queens",2014,4977,234.966,6557.26729399147,FALSE
"1395","General Government","Borough President-Staten Island","Borough President-Staten Island",2014,4130,234.966,5441.33291625171,FALSE
"1396","General Government","Office of the Comptroller","Office of the Comptroller",2014,70270,234.966,92581.7104176775,FALSE
"1397","General Government","Office of Administrative Tax Appeals","Office of Administrative Tax Appeals",2014,4162,234.966,5483.49336499749,FALSE
"1398","General Government","Law Department","Law Department",2014,151085,234.966,199056.606211111,FALSE
"1399","General Government","Department of City Planning","Department of City Planning",2014,20395,234.966,26870.6985053157,FALSE
"1400","General Government","Department of Investigation","Department of Investigation",2014,25099,234.966,33068.2844709447,FALSE
"1401","General Government","Department of Veterans Service","Department of Veterans Service",2014,NA,234.966,NA,FALSE
"1402","General Government","Public Advocate","Public Advocate",2014,2322,234.966,3059.26756211537,FALSE
"1403","General Government","City Council","City Council",2014,51540,234.966,67904.6727611654,FALSE
"1404","General Government","City Clerk","City Clerk",2014,4752,234.966,6260.82663874773,FALSE
"1405","General Government","Financial Information Services Agency","Financial Information Services Agency",2014,81626,234.966,107543.399666335,FALSE
"1406","General Government","Office of Payroll Administration","Office of Payroll Administration",2014,13713,234.966,18067.0698015883,FALSE
"1407","General Government","Independent Budget Office","Independent Budget Office",2014,3998,234.966,5267.42106517539,FALSE
"1408","General Government","Equal Employment Practices Commission","Equal Employment Practices Commission",2014,464,234.966,611.326506813752,FALSE
"1409","General Government","Civil Service Commission","Civil Service Commission",2014,799,234.966,1052.69370462109,FALSE
"1410","General Government","Landmarks Preservation Commission","Landmarks Preservation Commission",2014,4743,234.966,6248.96901253798,FALSE
"1411","General Government","Districting Commission","Districting Commission",2014,14,234.966,18.445196326277,FALSE
"1412","General Government","Commission on Human Rights","Commission on Human Rights",2014,5538,234.966,7296.39266106586,TRUE
"1413","General Government","Department of Youth and Community Development","Department of Youth and Community Development",2014,368054,234.966,484916.306333682,TRUE
"1414","General Government","Conflicts of Interest Board","Conflicts of Interest Board",2014,2054,234.966,2706.1738038695,FALSE
"1415","General Government","Office of Collective Bargaining","Office of Collective Bargaining",2014,2101,234.966,2768.09696296485,FALSE
"1416","General Government","Manhattan Community Board #1","Manhattan Community Board #1",2014,240,234.966,316.20336559332,FALSE
"1417","General Government","Manhattan Community Board #2","Manhattan Community Board #2",2014,271,234.966,357.04630031579,FALSE
"1418","General Government","Manhattan Community Board #3","Manhattan Community Board #3",2014,352,234.966,463.764936203536,FALSE
"1419","General Government","Manhattan Community Board #4","Manhattan Community Board #4",2014,283,234.966,372.856468595456,FALSE
"1420","General Government","Manhattan Community Board #5","Manhattan Community Board #5",2014,254,234.966,334.648561919597,FALSE
"1421","General Government","Manhattan Community Board #6","Manhattan Community Board #6",2014,364,234.966,479.575104483202,FALSE
"1422","General Government","Manhattan Community Board #7","Manhattan Community Board #7",2014,295,234.966,388.666636875122,FALSE
"1423","General Government","Manhattan Community Board #8","Manhattan Community Board #8",2014,312,234.966,411.064375271316,FALSE
"1424","General Government","Manhattan Community Board #9","Manhattan Community Board #9",2014,229,234.966,301.710711336959,FALSE
"1425","General Government","Manhattan Community Board #10","Manhattan Community Board #10",2014,188,234.966,247.692636381434,FALSE
"1426","General Government","Manhattan Community Board #11","Manhattan Community Board #11",2014,269,234.966,354.411272269179,FALSE
"1427","General Government","Manhattan Community Board #12","Manhattan Community Board #12",2014,199,234.966,262.185290637794,FALSE
"1428","General Government","Bronx Community Board #1","Bronx Community Board #1",2014,252,234.966,332.013533872986,FALSE
"1429","General Government","Bronx Community Board #2","Bronx Community Board #2",2014,246,234.966,324.108449733153,FALSE
"1430","General Government","Bronx Community Board #3","Bronx Community Board #3",2014,255,234.966,335.966075942902,FALSE
"1431","General Government","Bronx Community Board #4","Bronx Community Board #4",2014,196,234.966,258.232748567878,FALSE
"1432","General Government","Bronx Community Board #5","Bronx Community Board #5",2014,211,234.966,277.99545891746,FALSE
"1433","General Government","Bronx Community Board #6","Bronx Community Board #6",2014,201,234.966,264.820318684405,FALSE
"1434","General Government","Bronx Community Board #7","Bronx Community Board #7",2014,225,234.966,296.440655243737,FALSE
"1435","General Government","Bronx Community Board #8","Bronx Community Board #8",2014,258,234.966,339.918618012819,FALSE
"1436","General Government","Bronx Community Board #9","Bronx Community Board #9",2014,232,234.966,305.663253406876,FALSE
"1437","General Government","Bronx Community Board #10","Bronx Community Board #10",2014,276,234.966,363.633870432318,FALSE
"1438","General Government","Bronx Community Board #11","Bronx Community Board #11",2014,254,234.966,334.648561919597,FALSE
"1439","General Government","Bronx Community Board #12","Bronx Community Board #12",2014,206,234.966,271.407888800933,FALSE
"1440","General Government","Queens Community Board #1","Queens Community Board #1",2014,115,234.966,151.514112680132,FALSE
"1441","General Government","Queens Community Board #2","Queens Community Board #2",2014,260,234.966,342.55364605943,FALSE
"1442","General Government","Queens Community Board #3","Queens Community Board #3",2014,285,234.966,375.491496642067,FALSE
