"","expenditure_category","subcategory","agency","fiscal_year","Categorical.Citywide.Exp","FY_CPI","Adjusted.Categorical.Citywide.Exp","human_services"
"1873","General Government","Districting Commission","Districting Commission",2011,NA,221.237,NA,FALSE
"1874","General Government","Commission on Human Rights","Commission on Human Rights",2011,6136000,221.237,8585940.21795631,TRUE
"1875","General Government","Department of Youth and Community Development","Department of Youth and Community Development",2011,318832000,221.237,446133065.771096,TRUE
"1876","General Government","Conflicts of Interest Board","Conflicts of Interest Board",2011,1981000,221.237,2771960.16489104,FALSE
"1877","General Government","Office of Collective Bargaining","Office of Collective Bargaining",2011,2013000,221.237,2816736.9065753,FALSE
"1878","General Government","Manhattan Community Board #1","Manhattan Community Board #1",2011,232000,221.237,324631.377210864,FALSE
"1879","General Government","Manhattan Community Board #2","Manhattan Community Board #2",2011,316000,221.237,442170.32413204,FALSE
"1880","General Government","Manhattan Community Board #3","Manhattan Community Board #3",2011,330000,221.237,461760.148618902,FALSE
"1881","General Government","Manhattan Community Board #4","Manhattan Community Board #4",2011,245000,221.237,342821.928520094,FALSE
"1882","General Government","Manhattan Community Board #5","Manhattan Community Board #5",2011,243000,221.237,340023.382164828,FALSE
"1883","General Government","Manhattan Community Board #6","Manhattan Community Board #6",2011,291000,221.237,407188.494691214,FALSE
"1884","General Government","Manhattan Community Board #7","Manhattan Community Board #7",2011,212000,221.237,296645.913658204,FALSE
"1885","General Government","Manhattan Community Board #8","Manhattan Community Board #8",2011,285000,221.237,398792.855625415,FALSE
"1886","General Government","Manhattan Community Board #9","Manhattan Community Board #9",2011,235000,221.237,328829.196743763,FALSE
"1887","General Government","Manhattan Community Board #10","Manhattan Community Board #10",2011,250000,221.237,349818.294408259,FALSE
"1888","General Government","Manhattan Community Board #11","Manhattan Community Board #11",2011,255000,221.237,356814.660296424,FALSE
"1889","General Government","Manhattan Community Board #12","Manhattan Community Board #12",2011,195000,221.237,272858.269638442,FALSE
"1890","General Government","Bronx Community Board #1","Bronx Community Board #1",2011,235000,221.237,328829.196743763,FALSE
"1891","General Government","Bronx Community Board #2","Bronx Community Board #2",2011,243000,221.237,340023.382164828,FALSE
"1892","General Government","Bronx Community Board #3","Bronx Community Board #3",2011,245000,221.237,342821.928520094,FALSE
"1893","General Government","Bronx Community Board #4","Bronx Community Board #4",2011,199000,221.237,278455.362348974,FALSE
"1894","General Government","Bronx Community Board #5","Bronx Community Board #5",2011,206000,221.237,288250.274592405,FALSE
"1895","General Government","Bronx Community Board #6","Bronx Community Board #6",2011,197000,221.237,275656.815993708,FALSE
"1896","General Government","Bronx Community Board #7","Bronx Community Board #7",2011,244000,221.237,341422.655342461,FALSE
"1897","General Government","Bronx Community Board #8","Bronx Community Board #8",2011,247000,221.237,345620.47487536,FALSE
"1898","General Government","Bronx Community Board #9","Bronx Community Board #9",2011,168000,221.237,235077.89384235,FALSE
"1899","General Government","Bronx Community Board #10","Bronx Community Board #10",2011,259000,221.237,362411.753006956,FALSE
"1900","General Government","Bronx Community Board #11","Bronx Community Board #11",2011,236000,221.237,330228.469921397,FALSE
"1901","General Government","Bronx Community Board #12","Bronx Community Board #12",2011,208000,221.237,291048.820947672,FALSE
"1902","General Government","Queens Community Board #1","Queens Community Board #1",2011,208000,221.237,291048.820947672,FALSE
"1903","General Government","Queens Community Board #2","Queens Community Board #2",2011,275000,221.237,384800.123849085,FALSE
"1904","General Government","Queens Community Board #3","Queens Community Board #3",2011,279000,221.237,390397.216559617,FALSE
"1905","General Government","Queens Community Board #4","Queens Community Board #4",2011,250000,221.237,349818.294408259,FALSE
"1906","General Government","Queens Community Board #5","Queens Community Board #5",2011,235000,221.237,328829.196743763,FALSE
"1907","General Government","Queens Community Board #6","Queens Community Board #6",2011,263000,221.237,368008.845717488,FALSE
"1908","General Government","Queens Community Board #7","Queens Community Board #7",2011,277000,221.237,387598.670204351,FALSE
"1909","General Government","Queens Community Board #8","Queens Community Board #8",2011,268000,221.237,375005.211605654,FALSE
"1910","General Government","Queens Community Board #9","Queens Community Board #9",2011,194000,221.237,271458.996460809,FALSE
"1911","General Government","Queens Community Board #10","Queens Community Board #10",2011,229000,221.237,320433.557677965,FALSE
"1912","General Government","Queens Community Board #11","Queens Community Board #11",2011,242000,221.237,338624.108987195,FALSE
"1913","General Government","Queens Community Board #12","Queens Community Board #12",2011,208000,221.237,291048.820947672,FALSE
"1914","General Government","Queens Community Board #13","Queens Community Board #13",2011,240000,221.237,335825.562631929,FALSE
"1915","General Government","Queens Community Board #14","Queens Community Board #14",2011,217000,221.237,303642.279546369,FALSE
"1916","General Government","Brooklyn Community Board #1","Brooklyn Community Board #1",2011,264000,221.237,369408.118895122,FALSE
"1917","General Government","Brooklyn Community Board #2","Brooklyn Community Board #2",2011,243000,221.237,340023.382164828,FALSE
"1918","General Government","Brooklyn Community Board #3","Brooklyn Community Board #3",2011,185000,221.237,258865.537862112,FALSE
"1919","General Government","Brooklyn Community Board #4","Brooklyn Community Board #4",2011,308000,221.237,430976.138710975,FALSE
"1920","General Government","Brooklyn Community Board #5","Brooklyn Community Board #5",2011,180000,221.237,251869.171973947,FALSE
"1921","General Government","Brooklyn Community Board #6","Brooklyn Community Board #6",2011,197000,221.237,275656.815993708,FALSE
"1922","General Government","Brooklyn Community Board #7","Brooklyn Community Board #7",2011,207000,221.237,289649.547770038,FALSE
"1923","General Government","Brooklyn Community Board #8","Brooklyn Community Board #8",2011,240000,221.237,335825.562631929,FALSE
"1924","General Government","Brooklyn Community Board #9","Brooklyn Community Board #9",2011,180000,221.237,251869.171973947,FALSE
"1925","General Government","Brooklyn Community Board #10","Brooklyn Community Board #10",2011,280000,221.237,391796.48973725,FALSE
"1926","General Government","Brooklyn Community Board #11","Brooklyn Community Board #11",2011,231000,221.237,323232.104033231,FALSE
"1927","General Government","Brooklyn Community Board #12","Brooklyn Community Board #12",2011,264000,221.237,369408.118895122,FALSE
"1928","General Government","Brooklyn Community Board #13","Brooklyn Community Board #13",2011,229000,221.237,320433.557677965,FALSE
"1929","General Government","Brooklyn Community Board #14","Brooklyn Community Board #14",2011,263000,221.237,368008.845717488,FALSE
"1930","General Government","Brooklyn Community Board #15","Brooklyn Community Board #15",2011,155000,221.237,216887.342533121,FALSE
"1931","General Government","Brooklyn Community Board #16","Brooklyn Community Board #16",2011,235000,221.237,328829.196743763,FALSE
"1932","General Government","Brooklyn Community Board #17","Brooklyn Community Board #17",2011,315000,221.237,440771.050954406,FALSE
"1933","General Government","Brooklyn Community Board #18","Brooklyn Community Board #18",2011,188000,221.237,263063.357395011,FALSE
"1934","General Government","Staten Island Community Board #1","Staten Island Community Board #1",2011,235000,221.237,328829.196743763,FALSE
"1935","General Government","Staten Island Community Board #2","Staten Island Community Board #2",2011,192000,221.237,268660.450105543,FALSE
"1936","General Government","Staten Island Community Board #3","Staten Island Community Board #3",2011,256000,221.237,358213.933474057,FALSE
"1937","General Government","Department of Small Business Services","Department of Small Business Services",2011,142319000,221.237,199143159.367556,TRUE
"1938","General Government","Office of Administrative Trials and Hearings","Office of Administrative Trials and Hearings",2011,23322000,221.237,32633849.0487577,FALSE
"1939","General Government","Business Integrity Commission","Business Integrity Commission",2011,6851000,221.237,9586420.53996393,FALSE
"1940","General Government","Department of Finance","Department of Finance",2011,212432000,221.237,297250399.670941,FALSE
"1941","General Government","Department of Design and Construction","Department of Design and Construction",2011,11023000,221.237,15424188.237049,FALSE
"1942","General Government","Department of Citywide Administrative Services","Department of Citywide Administrative Services",2011,349381000,221.237,488879462.074608,FALSE
"1943","General Government","Department of Information Technology and Telecommunications","Department of Information Technology and Telecommunications",2011,278568000,221.237,389792730.54688,FALSE
"1944","General Government","Department of Records and Information Services","Department of Records and Information Services",2011,5022000,221.237,7027149.89807311,FALSE
"1945","General Government","Department of Consumer & Worker Protection","Department of Consumer & Worker Protection",2011,19906000,221.237,27853931.8739632,FALSE
"1946","General Government","Miscellaneous--Technology Development Corporation","Miscellaneous--Technology Development Corporation",2011,NA,221.237,NA,FALSE
"1947","Public Safety and Judicial","Department of Emergency Management","Department of Emergency Management",2011,33592000,221.237,47004384.5830489,FALSE
"1948","Public Safety and Judicial","Civilian Complaint Review Board","Civilian Complaint Review Board",2011,9622000,221.237,13463806.5151851,FALSE
"1949","Public Safety and Judicial","Police Department","Police Department",2011,4557699000,221.237,6377465962.42491,FALSE
"1950","Public Safety and Judicial","Fire Department","Fire Department",2011,1719718000,221.237,2406355270.49273,FALSE
"1951","Public Safety and Judicial","Department of Correction","Department of Correction",2011,1039763000,221.237,1454912476.99526,FALSE
"1952","Public Safety and Judicial","Board of Correction","Board of Correction",2011,929000,221.237,1299924.78202109,FALSE
